newco,parent,ex_date,size_tier,entry_offset_days,newco_1m,newco_3m,newco_6m,newco_12m,newco_18m,newco_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m,entry_strategy
HPE,HPQ,2015-10-19,large,0,-0.20120851794584016,-0.26865633329338856,0.05894466402327425,0.3137543334338111,0.5054896760410139,0.5698920119116309,0.010325907780845966,-0.21153442572668613,-0.08169920458113267,-0.1869571287122559,0.04460091004005129,0.014343753983222962,0.07347033940229108,0.24028399403152,0.1942586181092898,0.3112310579317241,0.31047892652564224,0.2594130853859886,-0.008907009371289187,-0.19230150857455097,-0.1386160228839184,-0.13004031040947017,-0.010763373095859396,0.06970803711913365,0.06259012235557337,0.2511642110782377,0.21633914433768253,0.2891505317033314,0.3314052823016431,0.23848672960998774,T+0
LW,CAG,2016-11-10,small,0,0.21101186726599508,0.30673206908231876,0.4290513554566362,0.7434398142436545,1.2726391999189737,1.7877893015725905,0.043010866366337996,0.16800100089965708,0.07939304520100587,0.22733902388131288,0.11915828625279401,0.3098930692038422,0.213868457067113,0.5295713571765415,0.2867083763489531,0.9859308235700206,0.30537717578720724,1.4824121257853833,0.09919669348270976,0.11181517378328532,0.11542521965763508,0.19130684942468368,0.12090189806171936,0.30814945739491684,0.193532776142878,0.5499070381007765,0.3047889838962077,0.967850216022766,0.2451378861522313,1.5426514154203592,T+0
ADNT,JCI,2016-10-17,small,0,-0.03302929544774924,0.312461962258322,0.3749406189413398,0.7452165423331398,0.2987725340077114,-0.36166647193138457,0.02778050287195155,-0.06080979831970079,0.07395447065185179,0.23850749160647022,0.1104502711236186,0.2644903478177212,0.22723147545155187,0.517985066881588,0.30350091825442926,-0.004728384246717843,0.3718277532147276,-0.7334942251461122,0.07698055406012472,-0.11000984950787396,0.12566467395902814,0.18679728829929387,0.13677544414292653,0.23816517479841326,0.2541839100140979,0.49103263231904193,0.3261183598673645,-0.02734582585965306,0.3478488220023075,-0.7095152939336921,T+0
PK,HLT,2017-01-04,small,0,-0.002305232465608209,-0.02849593438890563,0.021419371797456455,0.13445585294319984,0.2971491607115171,0.16513907480608037,0.012181071435396484,-0.014486303901004693,0.0406979778034573,-0.06919391219236293,0.07147431859920839,-0.05005494680175193,0.22204280421965983,-0.08758695127645999,0.24973454550985474,0.04741461520166235,0.16626066215226976,-0.00112158734618939,-0.006604677414560389,0.00429944494895218,-0.02223250111222208,-0.00626343327668355,0.017153529926018152,0.004265841871438303,0.13624381250691053,-0.0017879595637106949,0.24495563611452487,0.052193524596992225,0.03909437202580879,0.12604470278027158,T+0
HGV,HLT,2017-01-04,small,0,0.13384909220167418,0.19922628791224284,0.36518376768862915,0.6243714142676315,0.3311411736797698,0.06924560857886286,0.012181071435396484,0.1216680207662777,0.0406979778034573,0.15852831010878554,0.07147431859920839,0.29370944908942076,0.22204280421965983,0.4023286100479717,0.24973454550985474,0.08140662816991506,0.16626066215226976,-0.0970150535734069,-0.006604677414560389,0.14045376961623457,-0.02223250111222208,0.22145878902446492,0.017153529926018152,0.348030237762611,0.13624381250691053,0.488127601760721,0.24495563611452487,0.08618553756524494,0.03909437202580879,0.030151236553054073,T+0
CNDT,XRX,2017-01-03,large,0,0.05758017102605417,0.18804656849984602,0.1698249945104644,0.1844023093098004,0.3389213179083699,-0.1989796241091365,0.0112322443114945,0.04634792671455967,0.05001071822462255,0.13803585027522347,0.08779559859165986,0.08202939591880454,0.22415291501185441,-0.03975060570205402,0.2466254069943712,0.09229591091399869,0.16402061477100038,-0.3630002388801369,-0.0052392234338772825,0.06281939445993145,0.005469739907744131,0.1825768285921019,0.0477988490235326,0.1220261454869318,0.15212601499798595,0.032276294311814446,0.25510985033057243,0.08381146757779745,0.03825922253988301,-0.2372388466490195,T+0
DOW,DWDP,2019-03-20,large,0,0.16004018543924659,-0.01190466497583853,-0.01587266046696345,-0.4003100077756382,0.1234786278508977,0.4422471142159383,0.030083633665114684,0.1299565517741319,0.04088131948854201,-0.05278598446438054,0.07463908296857857,-0.09051174343554202,-0.13340566764499473,-0.26690434013064346,0.2225551900069156,-0.0990765621560179,0.43424537334642044,0.008001740869517882,0.01552872188354848,0.1445114635556981,0.012037097140190411,-0.023941762116028942,0.024871071487246432,-0.04074373195420988,-0.31497949745524456,-0.08533051032039363,0.020942681054165524,0.10253594679673217,0.5180012810488814,-0.07575416683294312,T+0
CTVA,DWDP,2019-05-24,large,0,-0.04586209781072781,0.006269532480608131,-0.1302090109377949,-0.09804089385261816,0.31836501717714993,0.5914489784493377,0.03322049387002224,-0.07908259168075005,0.012219822631554189,-0.005950290150946058,0.10764182772855801,-0.23785083866635293,0.07925262154980972,-0.17729351540242788,0.2930327890946691,0.025332228082480812,0.5334535644463805,0.05799541400295727,0.005921036782060796,-0.051783134592788604,-0.03214603905304958,0.03841557153365771,0.0534013885852922,-0.1836103995230871,-0.06615893031236209,-0.031881963540256075,0.20299169337518874,0.11537332380196119,0.49345734221159154,0.0979916362377462,T+0
CARR,RTX,2020-03-19,small,0,0.2041666938804132,0.7708332115876249,1.5644020475279206,2.440669850044808,3.6503970858030526,3.060751395033944,0.17768826833948426,0.02647842554092894,0.3039512816881462,0.46688192989947863,0.41075834950890133,1.1536436980190192,0.6550366414799882,1.7856332085648199,0.8878277808786734,2.762569304924379,0.913778390551802,2.146973004482142,0.1657498757586422,0.038416818121771,0.37430528407105945,0.3965279275165654,0.4903826633823458,1.0740193841455747,1.2159939380058242,1.2246759120389838,1.1797981567994982,2.4705989290035544,1.0431145685471832,2.017636826486761,T+0
OTIS,RTX,2020-03-19,small,0,0.0030940631723392897,0.2752931433730461,0.3583604997201133,0.4969399658971547,0.9145195307492759,0.7663036591854973,0.17768826833948426,-0.17459420516714497,0.3039512816881462,-0.028658138315100112,0.41075834950890133,-0.05239784978878803,0.6550366414799882,-0.15809667558283347,0.8878277808786734,0.02669174987060252,0.913778390551802,-0.14747473136630473,0.1657498757586422,-0.1626558125863029,0.37430528407105945,-0.09901214069801334,0.4903826633823458,-0.13202216366223252,1.2159939380058242,-0.7190539721086695,1.1797981567994982,-0.26527862605022223,1.0431145685471832,-0.27681090936168595,T+0
