signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
spinoff,0001959023,RENX,Safe & Green Development Corp  (SGD)  (CIK 0001959023),2023-06-30,2023-09-19,2023-10-18,True,True,,1.3858269514497459,-0.41653543356754075,-0.45118109789213334,-0.8795275576892629,-0.9534940930912916,-0.9541141702731326,1.3392914995526923,-0.5424646251323663,-0.6104110485301637,-1.2567507363062043,-1.2229312331488276,,1.35938992134098,-0.5436758290754561,-0.5853528571942277,-1.2128403097827323,-1.0835043806576272,
spinoff,0001963328,,ReElement Technologies LLC  (CIK 0001963328),2023-06-29,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,
spinoff,0001968915,PHIN,PHINIA INC.  (PHIN)  (CIK 0001968915),2023-06-09,2023-06-28,2023-07-27,True,True,,0.004830987831208722,-0.027317648196971578,0.12220460570499192,0.6410293774463325,0.9354722440533261,0.9869218588343793,0.03249992419485459,0.0466445877600421,0.036849265981873325,0.42027357289094835,0.5781832558717406,0.5528481944066861,0.0559859311630313,0.12445406136183546,0.10311566698873009,0.4818869540484636,0.7452460682438442,0.8268929036203791
spinoff,0001965040,FTRE,Fortrea Holdings Inc.  (FTRE)  (CIK 0001965040),2023-06-08,2023-06-16,2023-07-17,True,True,,-0.17909997571313296,-0.110238642663684,-0.057082490551394804,-0.18544250026614162,-0.46209606953694116,-0.8592570292506971,-0.16146631567324532,-0.07071708716540848,-0.11851801187534339,-0.43806001419872065,-0.8013315377950776,-1.2910417407183088,-0.1509978828915971,0.00604844702090479,-0.05118644753664403,-0.34934389299570767,-0.6452422926583228,-1.0321287627787512
spinoff,0001955520,KNF,Knife River Holding Co  (KNF)  (CIK 0001955520),2023-05-08,2023-06-06,2023-07-05,True,True,,0.04311742662292861,0.10076096043823712,0.4274844678840215,0.6433017846046132,1.3292598370067865,0.8731842256063209,0.030231914738268584,0.14601390563188843,0.36154240448804464,0.37415287437581823,0.9660091857080464,0.4273999883406392,-0.004142843570367871,0.17524038906714767,0.3734055711697788,0.5471995917936106,1.096768645304859,0.6388166467645724
spinoff,0001795815,BCAL,Southern California Bancorp \ CA  (BCAL)  (CIK 0001795815),2023-04-24,2023-04-24,2023-05-23,True,True,,0.029624282893011777,0.029624282893011777,0.07153172687248976,0.023121379632057515,0.27167636742518075,0.062138729531780346,-0.020435326832728418,-0.04423816771270839,-0.03102686944579114,-0.2654309721203887,-0.1919266240663322,-0.3960702461527972,0.00905117409828593,-0.02045185190680887,0.06632730295171374,-0.1378597560693653,-0.07618305608245368,-0.12556138448100707
spinoff,0001964333,BHRB,Burke & Herbert Financial Services Corp.  (BHRB)  (CIK 0001964333),2023-04-21,2023-04-21,2023-05-22,True,True,,-0.06985022001636298,-0.4084457537545506,-0.4254273182126108,-0.387973376914464,-0.14579657180534034,-0.26588349284268376,-0.11603450887843836,-0.4585605607786415,-0.5179933116163372,-0.6714389694136678,-0.5852462977481535,-0.7161172490610505,-0.101139870136297,-0.4425481171789335,-0.4389502547119152,-0.5627618844721949,-0.46721957319089336,-0.46058393466179115
spinoff,0001952073,MSGE,"MSGE Spinco, Inc.  (MSGE)  (CIK 0001952073)",2023-03-30,2023-04-17,2023-05-16,True,True,,0.21114361427581763,0.004561726530212251,-0.03714569166370574,0.20723358072102505,0.16682961062680923,0.23623323448971023,0.1322889670670926,-0.07105846792036918,-0.1388779737161493,-0.10013049256520268,-0.30967666092777035,-0.2484467516516624,0.1201341168471659,-0.07713484924029257,-0.08076149265905219,-0.016276814458073385,-0.20644143950989124,-0.008149766779991685
spinoff,0001953366,STHO,Star Holdings  (STHO)  (CIK 0001953366),2023-03-20,2023-03-28,2023-04-26,True,True,,-0.07030758720043373,-0.026365352683482612,-0.31198996684350455,-0.2642812277146731,-0.19585686288689963,-0.5768989553045842,-0.09575513606061059,-0.14954964671658022,-0.3521010390981144,-0.5394326536964236,-0.6577419682296285,-0.9858675708674836,-0.08652793965977001,-0.16095321741650181,-0.2743794917013169,-0.43754040945929806,-0.49859116273634074,-0.7426709758932393
spinoff,0001944013,CR,Crane Co  (CR)  (CIK 0001944013),2023-01-24,2023-03-29,2023-04-27,True,True,,0.042541461362817,0.30490754888663796,0.2983703023331674,1.008249566501279,1.1270273576321528,1.2815160008240767,0.024089022737914467,0.19286552638051324,0.29077337020372873,0.753560790496739,0.6892464732278791,0.8902596164759378,0.02832010185238465,0.17078724903298093,0.3462338705217567,0.8411210710070238,0.8205029509984261,1.1239712729934994
