signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
spinoff,0002023554,SNDK,Sandisk Corp  (SNDK)  (CIK 0002023554),2024-12-20,2025-02-13,2025-03-14,True,True,,-0.38799709186740217,-0.2247354936776368,0.6433782714230185,12.136993559271225,,,-0.348786386710627,-0.2886753644719299,0.46205966204072446,11.931138539916994,,,-0.30942528942933234,-0.2566185252051739,0.4577583927497637,11.888475554120442,,
spinoff,0002011954,TWNPQ,Twin Hospitality Group Inc.  (TWNP)  (CIK 0002011954),2024-12-17,2025-01-28,2025-02-26,True,True,,-0.13209878040366563,-0.45061733337132337,-0.5839506510063147,-0.9882716056377926,,,-0.08878105791424995,-0.442136819743418,-0.6780613666649317,-1.1556374743902653,,,-0.08290160885508546,-0.4056024782820846,-0.6833726019073313,-1.213929061771668,,
spinoff,0001658678,BSEM,BIOSTEM TECHNOLOGIES  (BSEM)  (CIK 0001658678),2024-11-27,2024-11-27,2024-12-26,True,True,,0.1656920102614614,-0.329434658138798,-0.05263159460222555,-0.7037037030151798,,,0.16491046084128036,-0.2624720392665728,-0.08588976601547493,-0.8595850220069954,,,0.16325497655477839,-0.2153690831645999,-0.023490274319009075,-0.8150972397113732,,
spinoff,0002015845,ECG,"Everus Construction Group, Inc.  (ECG)  (CIK 0002015845)",2024-10-09,2024-10-28,2024-11-26,True,True,,0.0821068190827754,-0.39132456920221004,-0.10797832519255501,0.40743600587091033,,,0.08816249154997191,-0.36649284697392526,-0.1010590638718506,0.2611104993826159,,,0.155125315827907,-0.2615758994740581,0.03264273637546222,0.3755723031301612,,
spinoff,0002000640,DMNIF,Grafiti Holding Inc.  (DMN)  (CIK 0002000640),2024-09-27,2024-11-18,2024-12-17,True,True,,-0.17692307692307696,-0.9525641025641025,-0.9987179487179487,-0.9993948717912038,,,-0.17822983196243736,-0.8918158264577637,-1.0011620227380649,-1.142719887884031,,,-0.17138355689261486,-0.8364837068403307,-0.9197898060737192,-1.096942456627501,,
spinoff,0002011286,AMTM,Amazon Holdco Inc.  (AMTM)  (CIK 0002011286),2024-09-13,2024-09-24,2024-10-23,True,True,,-0.14236233082356564,-0.2542431568832193,-0.24350538560054225,-0.22202984303518813,,,-0.1694910098510264,-0.2947236649305629,-0.20263382384727158,-0.4220001754093399,,,-0.21169272935725958,-0.2904249623747672,-0.13730921843887678,-0.3760978431989659,,
spinoff,0002009684,SEG,Seaport Entertainment Group Inc.  (SEG)  (CIK 0002009684),2024-07-23,2024-07-30,2024-08-28,True,True,,-0.14516130155703721,-0.007608033942678727,-0.29793063705675327,-0.2665855163168275,-0.28880096149872325,,-0.17189038076187457,-0.08676319871602112,-0.35028852053722537,-0.4276900106223439,-0.5383834330039801,,-0.16275248627364203,-0.1189082903915828,-0.265041163562858,-0.3554908342930615,-0.514961255847503,
spinoff,0002012706,SUNS,"Sunrise Realty Trust, Inc.  (SUNS)  (CIK 0002012706)",2024-06-28,2024-07-09,2024-08-07,True,True,,0.16072978967522955,0.31240638822746813,0.05556025481534821,-0.006519920867150364,-0.06014978689192496,,0.11889102620331649,0.19709196638802462,-0.11021500296789322,-0.24787354707475184,-0.41895815346710163,,0.13141995955817665,0.19845870004903166,-0.07051418350372818,-0.10954823489705035,-0.401240436521209,
spinoff,0002007691,,Ionic Digital Inc.  (CIK 0002007691),2024-06-13,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,
spinoff,0001699031,GRAL,"GRAIL, LLC  (GRAL)  (CIK 0001699031)",2024-06-03,2024-06-12,2024-07-11,True,True,,0.10912835867475801,-0.11256001537398963,0.2168840023060985,1.6444749201322288,5.998627546775206,,0.1513400653994379,-0.1528673529012281,0.16701651862902311,1.5125585211000807,5.729148498420019,,0.12915859767896798,-0.15112139135205727,0.18111459494539095,1.5939571310884184,5.736152074615662,
