signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
activist_13d,0001546417,BLMN,"Bloomin' Brands, Inc.  (BLMN)  (CIK 0001546417)",2023-09-06,,2023-09-06,True,True,filer_cik=0001517137,-0.12282651321790017,-0.11122639388952482,0.12070133318707899,-0.34990236409040165,-0.6523401153528763,-0.7136987445158562,-0.07750662702778177,-0.1380979511976066,-0.04177556329791554,-0.5778129325726437,-0.9237486999226632,-1.2142359943955017,-0.047740252335573996,-0.10652747091032733,-0.0005240674325810435,-0.4822323149414195,-0.7527158987079385,-1.016147703738054
activist_13d,0001674101,VRT,Vertiv Holdings Co  (VRT)  (CIK 0001674101),2023-07-21,,2023-07-21,True,True,filer_cik=0001517137,0.36565428074456996,0.4571648300199711,1.0825395084052643,2.5477421442093404,4.987499777348681,4.366701841227661,0.3940499383856644,0.5107846363237758,1.0052640839978444,2.3059223580851342,4.6113607270587185,3.920247790760218,0.41749016733221345,0.5859759469982087,1.063376577672599,2.3871266511945954,4.78431454674155,4.183582831924449
activist_13d,0000934549,ACTG,ACACIA RESEARCH CORP  (ACTG)  (CIK 0000934549),2023-07-17,,2023-07-17,True,True,filer_cik=0001517137,-0.07823964785402304,-0.12713941318952515,-0.08801958926251363,0.36185818187244734,0.06845958985943446,-0.1100244574316176,-0.06060591649670222,-0.08761778483987692,-0.14945525505523893,0.10924043999110711,-0.27077597225451644,-0.5418092692410463,-0.050137794859348106,-0.010852386026027228,-0.08212378969281442,0.19795659950009692,-0.11468682604042968,-0.28289638206405776
activist_13d,0001576789,WIX,Wix.com Ltd.  (WIX)  (CIK 0001576789),2023-06-20,,2023-06-20,True,True,filer_cik=0001517137,0.061409011155510784,0.1834735792324098,0.44204452834042796,0.9827954895838114,1.7017456587996298,1.0244884123356859,0.027098318229086482,0.1672524126220185,0.35426580653782946,0.7181733995186399,1.3377674778182191,0.5996049716167187,0.007662947544101462,0.2021092757377546,0.3723361092414501,0.8881565597175696,1.4847113772176477,0.8366309620140238
activist_13d,0001049521,MRCY,MERCURY SYSTEMS INC  (MRCY)  (CIK 0001049521),2023-06-15,,2023-06-15,True,True,filer_cik=0001517137,-0.1161209199435348,-0.04458439354530175,-0.07355168583191674,-0.29143580301826144,-0.00931987216056085,0.27884129677796454,-0.14611912507256675,-0.05359177974385465,-0.14773710639239646,-0.5454408551680404,-0.40890680105751775,-0.1047197630485599,-0.161628735746579,-0.024151159098470876,-0.13865313052728645,-0.375288662796898,-0.28160305321810364,0.134396748564253
activist_13d,0001794905,,"Cyxtera Technologies, Inc.  (CIK 0001794905)",2023-06-08,,2023-06-08,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0000084748,ROG,ROGERS CORP  (ROG)  (CIK 0000084748),2023-06-06,,2023-06-06,True,True,filer_cik=0001517137,0.06010677177835455,-0.10184943760291931,-0.15791873134633871,-0.2126855727531045,-0.31616303851423355,-0.540505348525613,0.03172313727816212,-0.14821884272196684,-0.23240571190046622,-0.4798923741444949,-0.763081291403412,-0.988067596233493,0.05516125627842183,-0.11452083024371285,-0.16583165910987663,-0.33246575566630465,-0.6337805730171366,-0.7338750217335888
activist_13d,0001046102,RBA,RITCHIE BROS AUCTIONEERS INC  (RBA)  (CIK 0001046102),2023-04-10,,2023-04-10,True,True,filer_cik=0001517137,0.009087846145295453,0.07007523073364896,0.17380576433826844,0.31348262896721835,0.44784787197935483,0.7507537347468787,0.005865218006264161,-0.014135594676925711,0.11077924392965799,0.040161428233192575,0.009435110793101886,0.4115132821233989,0.021719447256682733,-0.012858686931624286,0.17636197662338438,0.1545056249797503,0.18224906521435447,0.6751612789204549
activist_13d,0001102993,LPSN,LIVEPERSON INC  (LPSN)  (CIK 0001102993),2023-03-17,,2023-03-17,True,True,filer_cik=0001517137,0.2779096595139634,-0.1306413270096145,0.02612828956469193,-0.7482185394403443,-0.757719717798187,-0.7814726863453896,0.2158057869688741,-0.26167631674004244,-0.11966653660070414,-1.089735030523812,-1.222801140078206,-1.2672262878515175,0.23441910202894678,-0.22357422149739126,-0.04593805860337885,-0.9460892992632463,-1.065368671263514,-1.0063113868726012
activist_13d,0000901491,PZZA,PAPA JOHNS INTERNATIONAL INC  (PZZA)  (CIK 0000901491),2023-03-03,,2023-03-03,True,True,filer_cik=0001517137,-0.1123436072906625,-0.1478798576441428,-0.07950361558405705,-0.1449638904350421,-0.3879517518387766,-0.3955407008602536,-0.13294871552145104,-0.2106302996254824,-0.2042082361093972,-0.4188411806473893,-0.7805432569601839,-0.860626360612555,-0.04779305373496756,-0.10188330405363555,-0.08255681279609572,-0.22468046925611818,-0.5227691078840425,-0.4998622231819301
activist_13d,0000868857,ACM,AECOM  (ACM)  (CIK 0000868857),2023-01-27,,2023-01-27,True,True,filer_cik=0001517137,0.004770398666019249,-0.031677735349583735,0.0165117619443087,0.052964021333498534,0.06892389996684112,0.24958785225992086,0.027990515736502797,-0.06085699820338364,-0.12045387689964482,-0.17546953416355282,-0.31820054401898545,-0.2757621566268895,0.012155086028944662,0.04076413789829969,-0.03842834950627272,-0.0054598313046427815,-0.13588875171789927,0.022883785896949504
activist_13d,0000893949,MD,"Pediatrix Medical Group, Inc.  (MD)  (CIK 0000893949)",2023-01-20,,2023-01-20,True,True,filer_cik=0001517137,0.03750004313494082,-0.030263160784158694,-0.052631592156154094,-0.3664473529420069,-0.4947368470585578,-0.05789474509759629,0.029391573384554892,-0.07546143653115356,-0.20860562897030344,-0.6098269705319865,-0.891476186392971,-0.6369777156465662,0.024583733956027753,0.006619710701588732,-0.11294927631831853,-0.441296410332366,-0.6959705851186384,-0.32696040120835945
activist_13d,0001169561,CVLT,COMMVAULT SYSTEMS INC  (CVLT)  (CIK 0001169561),2022-12-02,,2022-12-02,True,True,filer_cik=0001517137,-0.032277287684045475,-0.13179916222587706,0.06888823575148972,0.1400179767328542,0.7284817892093545,1.5738196384633678,0.020284062420251048,-0.11506031727078225,0.008121407684094528,0.00023783057073956115,0.3842708499919796,1.038976752873297,0.029833725110446796,-0.1281860759494402,0.08062116296699495,0.1439308179903327,0.62183990567964,1.2716616145906607
activist_13d,0001333493,EHTH,"eHealth, Inc.  (EHTH)  (CIK 0001333493)",2022-11-15,,2022-11-15,True,True,filer_cik=0001517137,0.5158227315661135,2.088607583476114,1.5569619317215988,1.4303796264991981,0.6487341445047423,0.5664555932959414,0.538056699321415,2.0593349899931246,1.496050793839732,1.2827532295781685,0.2879301208553451,0.0470014834423389,0.5747906789814758,2.05694329601887,1.6043392890731858,1.4777311370491995,0.5121637259991125,0.31100459636609923
activist_13d,0001644440,,GCP Applied Technologies Inc.  (CIK 0001644440),2022-09-27,,2022-09-27,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001307954,HUN,Huntsman CORP  (HUN)  (CIK 0001307954),2022-05-19,,2022-05-19,True,True,filer_cik=0001517137,-0.17452174861704062,-0.1263166487166747,-0.21869075016144657,-0.25201342811066985,-0.2583823575793518,-0.22760766505159824,-0.14173331717597237,-0.2149099787266613,-0.2395129803700058,-0.34554126555595466,-0.4531334295242879,-0.6311130781872091,-0.12950456729984094,-0.23186790836130822,-0.2608240774742332,-0.27817986503157544,-0.298425578064456,-0.4331362930242356
activist_13d,0000935036,ACIW,"ACI WORLDWIDE, INC.  (ACIW)  (CIK 0000935036)",2022-04-01,,2022-04-01,True,True,filer_cik=0001517137,-0.07653907805175475,-0.12712145729817614,-0.2945091081136011,-0.1287853254622353,-0.30515808017008594,0.07687192785156882,0.004137357258484631,0.025907737196378955,-0.11078163610882175,-0.046373334219052764,-0.26556605757524687,-0.10401701942559716,0.015381578333459545,0.03804939879942748,-0.11646886151854441,0.012747465384271184,-0.1496723652384434,0.06218906059639506
activist_13d,0001386278,GDOT,GREEN DOT CORP  (GDOT)  (CIK 0001386278),2022-03-15,,2022-03-15,True,True,filer_cik=0001517137,0.06774442878725084,-0.04695917378178194,-0.23902999206666298,-0.3706697201865179,-0.4314857306386124,-0.6616628130588337,0.02429399708855784,0.07303643863522968,-0.17184030728945043,-0.3152135557842388,-0.5004577761176561,-0.9070471972107018,0.03952426419512056,0.08390086368982241,-0.17785282770317856,-0.2825352073255988,-0.3890420655275053,-0.7200067425108897
activist_13d,0000019411,,MAGELLAN HEALTH INC  (CIK 0000019411),2022-01-06,,2022-01-06,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
