signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m,newco_start_mcap,size_bucket
spinoff,1988175,,American Carbon Corp  (CIK 0001988175),2023-12-21,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,,,unknown
spinoff,1968487,WS,"Worthington Steel, Inc.  (WS)  (CIK 0001968487)",2023-11-14,2023-11-28,2023-12-27,True,True,,-0.0432859229257552,0.1386747166573612,0.0651709834426328,0.0309934735772934,0.0426477908264173,0.1394890527066201,-0.0742609961189254,0.0375537704139525,-0.0841692744789772,-0.2337068539411668,-0.2840032095295952,-0.3269602773513091,-0.0168725779075923,0.1093124207884046,0.0693064632232681,-0.0675616550430076,-0.0546651437897223,-0.0901590058154697,1213303664.5958862,small ($500M-$2B)
spinoff,1971543,,Mural Oncology plc  (MURA)  (CIK 0001971543),2023-10-26,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,,,unknown
spinoff,1963328,,ReElement Technologies LLC  (CIK 0001963328),2023-10-11,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,,,unknown
spinoff,1952976,NLOP,Net Lease Office Properties  (NLOP)  (CIK 0001952976),2023-10-04,2023-10-27,2023-11-27,True,True,,0.2067599275303466,0.6128997368413962,0.4788153859832729,1.0300515424435144,1.0119144990498654,1.1040332895441316,0.1540359198429297,0.4944509756413755,0.3129240791625955,0.6905596207846705,0.6816908720339518,0.5685393954596212,0.056583965187017,0.4767626457921361,0.3408631220099851,0.6669911370051269,0.8405291702807534,0.6975408231528908,90652170.13975382,nano (<$500M)
spinoff,1943705,,Outdoor Products Spinco Inc.  (CIK 0001943705),2023-09-29,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,,,unknown
spinoff,1959023,RENX,Safe & Green Development Corp  (SGD)  (CIK 0001959023),2023-09-12,2023-09-19,2023-10-18,True,True,,1.385826951449746,-0.4165354335675407,-0.4511810978921333,-0.8795275576892629,-0.9534940930912916,-0.9541141702731326,1.339291502958349,-0.5424646159163474,-0.6104110368770577,-1.256750781883586,-1.222931140246171,-1.5464968436661042,1.3593899261846605,-0.5436756225655813,-0.585352832611848,-1.2128400654988345,-1.083504173621943,-1.4075653687423284,6304664282.230957,mid ($2B-$10B)
spinoff,1959348,,WK Kellogg Co  (KLG)  (CIK 0001959348),2023-09-11,,,False,False,unresolved ticker,,,,,,,,,,,,,,,,,,,,unknown
spinoff,1967649,VSTS,Vestis Corp  (VSTS)  (CIK 0001967649),2023-09-06,2023-09-27,2023-10-26,True,True,,0.1465400273150559,0.4790099144994142,0.2822940186324891,-0.0326739629265681,-0.4015738956229,-0.6478227984943921,0.0449039834465667,0.2833688314250178,0.0370652567714095,-0.4596142155584523,-0.7823405829841701,-1.3382839854284785,0.0576525155248439,0.2596780693889704,0.0564945913334014,-0.4048767671011281,-0.6173078791763253,-1.174533779048898,2505231621.0836906,mid ($2B-$10B)
spinoff,1967680,VLTO,Veralto Corp  (VLTO)  (CIK 0001967680),2023-08-31,2023-10-04,2023-11-02,True,True,,0.0782584988438892,0.0792831772846263,0.382939652739813,0.4630376557253852,0.3925735617816015,0.4133404220827863,0.0180625368416953,-0.0687969640318482,0.1751303066033287,0.1223484747855674,0.0545729489892095,-0.1829866827538295,-0.0219358957500614,-0.0547825601899885,0.1715367099954292,0.1512470973498538,0.1872323630922518,-0.0347599545365255,18896345541.021217,large (>$10B)
